column_number,row_letter,concentration,well,plate,mouse_id,name
13,6,0.9257702220911076,6.013.0,MAA000154,30_2_M,6.013.0-MAA000154-30_2_M-1
13,7,0.3104204169865911,7.013.0,MAA000154,30_2_M,7.013.0-MAA000154-30_2_M-1
13,8,1.6022329744643906,8.013.0,MAA000154,30_2_M,8.013.0-MAA000154-30_2_M-1
13,9,0.3725385467992749,9.013.0,MAA000154,30_2_M,9.013.0-MAA000154-30_2_M-1
13,10,0.32608979053088966,10.013.0,MAA000154,30_2_M,10.013.0-MAA000154-30_2_M-1
13,11,2.5307646720986905,11.013.0,MAA000154,30_2_M,11.013.0-MAA000154-30_2_M-1
13,12,-0.022698990424385678,12.013.0,MAA000154,30_2_M,12.013.0-MAA000154-30_2_M-1
13,13,1.1247007479466349,13.013.0,MAA000154,30_2_M,13.013.0-MAA000154-30_2_M-1
13,14,2.611805572464642,14.013.0,MAA000154,30_2_M,14.013.0-MAA000154-30_2_M-1
13,15,0.9932417557256765,15.013.0,MAA000154,30_2_M,15.013.0-MAA000154-30_2_M-1
14,0,0.9615671509737729,0.014.0,MAA000154,30_2_M,0.014.0-MAA000154-30_2_M-1
14,1,0.26295333072127663,1.014.0,MAA000154,30_2_M,1.014.0-MAA000154-30_2_M-1
14,2,0.3606377113774152,2.014.0,MAA000154,30_2_M,2.014.0-MAA000154-30_2_M-1
14,3,2.5318057113326407,3.014.0,MAA000154,30_2_M,3.014.0-MAA000154-30_2_M-1
14,4,1.0494399460139583,4.014.0,MAA000154,30_2_M,4.014.0-MAA000154-30_2_M-1
14,5,1.3114172899540166,5.014.0,MAA000154,30_2_M,5.014.0-MAA000154-30_2_M-1
14,6,-0.44669000738528425,6.014.0,MAA000154,30_2_M,6.014.0-MAA000154-30_2_M-1
14,7,0.23175203427780494,7.014.0,MAA000154,30_2_M,7.014.0-MAA000154-30_2_M-1
14,8,1.1764252185418342,8.014.0,MAA000154,30_2_M,8.014.0-MAA000154-30_2_M-1
14,9,0.329033624782576,9.014.0,MAA000154,30_2_M,9.014.0-MAA000154-30_2_M-1
14,10,1.1720925351628806,10.014.0,MAA000154,30_2_M,10.014.0-MAA000154-30_2_M-1
